sensor_id,parameter,parameter_units,value,date,latitude,longitude
164,co,µg/m³,0.31,2022-11-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2022-11-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2022-11-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2022-11-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2022-11-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2022-11-09,52.389983000188224,4.88781099987638
164,co,µg/m³,0.57,2022-11-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.54,2022-11-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.45,2022-11-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2022-11-13,52.389983000188224,4.88781099987638
164,co,µg/m³,0.39,2022-11-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2022-11-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2022-11-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2022-11-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.39,2022-11-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2022-11-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2022-11-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2022-12-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2022-12-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2022-12-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2022-12-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2022-12-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.4,2022-12-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2022-12-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2022-12-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2022-12-09,52.389983000188224,4.88781099987638
164,co,µg/m³,0.44,2022-12-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.55,2022-12-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.53,2022-12-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.59,2022-12-13,52.389983000188224,4.88781099987638
164,co,µg/m³,0.44,2022-12-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2022-12-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.34,2022-12-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2022-12-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-01-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-01-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-01-09,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-01-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.18,2023-01-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-01-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-01-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.39,2023-01-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-01-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2023-01-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2023-01-18,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2023-01-19,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-01-20,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2023-01-21,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2023-01-22,52.389983000188224,4.88781099987638
164,co,µg/m³,0.42,2023-01-23,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-01-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2023-01-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2023-01-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-01-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-01-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.25,2023-01-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2023-01-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-01-31,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-02-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2023-02-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.5,2023-02-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.6,2023-02-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.57,2023-02-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.49,2023-02-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-02-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-02-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-02-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.65,2023-02-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.64,2023-02-13,52.389983000188224,4.88781099987638
164,co,µg/m³,0.41,2023-02-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-02-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2023-02-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-02-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-02-18,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-02-19,52.389983000188224,4.88781099987638
164,co,µg/m³,0.45,2023-02-20,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-02-22,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-02-23,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-02-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-02-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-02-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-02-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-02-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-03-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-03-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2023-03-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-03-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2023-03-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-03-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.18,2023-03-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.25,2023-03-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-03-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-03-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-03-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.6,2023-03-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-03-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-03-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-03-18,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-03-19,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-03-20,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-03-21,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-03-22,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2023-03-23,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-03-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.18,2023-03-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.35,2023-03-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2023-03-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-03-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.35,2023-03-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.25,2023-03-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-03-31,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-04-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.25,2023-04-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-04-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.4,2023-04-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-04-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2023-04-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2023-04-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2023-04-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-04-09,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-04-10,52.389983000188224,4.88781099987638
