time,tavg
2023-06-15,21.1
2023-06-16,20.6
2023-06-17,20.0
2023-06-18,22.1
2023-06-19,20.7
2023-06-20,22.0
2023-06-21,20.0
2023-06-22,19.8
2023-06-23,19.9
2023-06-24,21.4
2023-06-25,24.7
2023-06-26,19.7
2023-06-27,17.8
2023-06-28,18.2
2023-06-29,18.6
2023-06-30,16.8
2023-07-01,17.5
2023-07-02,17.4
2023-07-03,17.1
2023-07-04,16.9
2023-07-05,14.5
2023-07-06,16.9
2023-07-07,20.3
2023-07-08,24.5
2023-07-09,22.1
2023-07-10,19.9
2023-07-11,21.1
2023-07-12,18.8
2023-07-13,18.3
2023-07-14,18.6
2023-07-15,20.9
2023-07-16,18.7
2023-07-17,17.7
2023-07-18,18.0
2023-07-19,17.7
2023-07-20,16.8
2023-07-21,16.5
2023-07-22,16.3
2023-07-23,17.9
2023-07-24,17.5
2023-07-25,15.1
2023-07-26,15.8
2023-07-27,17.2
2023-07-28,19.6
2023-07-29,18.8
2023-07-30,18.1
2023-07-31,17.9
2023-08-01,17.5
2023-08-02,17.3
2023-08-03,17.3
2023-08-04,17.0
2023-08-05,15.6
2023-08-06,15.0
2023-08-07,16.0
2023-08-08,16.3
2023-08-09,15.8
2023-08-10,17.9
2023-08-11,20.3
2023-08-12,19.6
2023-08-13,19.0
2023-08-14,19.8
2023-08-15,19.1
2023-08-16,18.2
2023-08-17,18.7
2023-08-18,20.0
2023-08-19,22.3
2023-08-20,19.6
2023-08-21,19.2
2023-08-22,18.8
2023-08-23,18.9
2023-08-24,19.5
2023-08-25,19.5
2023-08-26,16.7
2023-08-27,15.3
2023-08-28,16.1
2023-08-29,15.6
2023-08-30,14.8
