tavg,co,no,no2,o3,pm10,pm25,so2,date,latitude,longitude
16.7,0.165,9.220394650205762,25.0,47.333333333333336,4.1,3.2,1.0,2022-09-14,52.35803899985509,4.899699999642448
16.7,0.11,1.5803238095238095,13.0,38.0,5.1,1.0,1.0,2022-09-14,52.359714000013874,4.866208000411839
16.7,0.165,12.274537093023255,26.0,47.333333333333336,10.0,2.1625,1.0,2022-09-14,52.374786000246935,4.86031900024369
16.7,0.165,2.441637984496124,7.9,53.0,7.58,2.1625,1.0,2022-09-14,52.38931400010768,4.9438219998869615
16.7,0.22,8.839829069767443,16.0,51.0,7.7,4.2,1.0,2022-09-14,52.389983000188224,4.88781099987638
16.7,0.165,6.395690594202899,17.580000000000002,47.333333333333336,11.0,0.25,1.0,2022-09-14,52.39397200025616,4.870156999790721
15.2,0.16,9.220394650205762,8.7,57.333333333333336,16.0,7.7,0.8,2022-09-15,52.35803899985509,4.899699999642448
15.2,0.11,1.5803238095238095,5.4,55.0,15.0,4.1,0.8,2022-09-15,52.359714000013874,4.866208000411839
15.2,0.16,12.274537093023255,6.3,57.333333333333336,13.0,6.05,0.8,2022-09-15,52.374786000246935,4.86031900024369
15.2,0.16,2.441637984496124,0.55,62.0,15.8,6.05,0.8,2022-09-15,52.38931400010768,4.9438219998869615
15.2,0.21,8.839829069767443,8.7,55.0,16.0,8.6,0.8,2022-09-15,52.389983000188224,4.88781099987638
15.2,0.16,6.395690594202899,5.93,57.333333333333336,19.0,3.8,0.8,2022-09-15,52.39397200025616,4.870156999790721
13.0,0.185,9.220394650205762,17.0,47.0,7.3,2.0,0.45,2022-09-16,52.35803899985509,4.899699999642448
13.0,0.15,1.5803238095238095,8.8,45.0,15.0,2.5,0.45,2022-09-16,52.359714000013874,4.866208000411839
13.0,0.185,12.274537093023255,12.0,47.0,11.0,2.5749999999999997,0.45,2022-09-16,52.374786000246935,4.86031900024369
13.0,0.185,2.441637984496124,3.9,51.0,10.28,2.5749999999999997,0.45,2022-09-16,52.38931400010768,4.9438219998869615
13.0,0.22,8.839829069767443,15.0,45.0,10.0,4.6,0.45,2022-09-16,52.389983000188224,4.88781099987638
13.0,0.185,6.395690594202899,11.34,47.0,8.1,1.2,0.45,2022-09-16,52.39397200025616,4.870156999790721
12.6,0.22,9.220394650205762,26.0,46.0,14.0,5.4,1.4,2022-09-17,52.35803899985509,4.899699999642448
12.6,0.2,1.5803238095238095,18.0,40.0,13.0,1.8,1.4,2022-09-17,52.359714000013874,4.866208000411839
12.6,0.22,12.274537093023255,23.0,46.0,10.0,4.325,1.4,2022-09-17,52.374786000246935,4.86031900024369
12.6,0.22,2.441637984496124,6.2,58.0,14.4,4.325,1.4,2022-09-17,52.38931400010768,4.9438219998869615
12.6,0.24,8.839829069767443,27.0,40.0,18.0,6.5,1.4,2022-09-17,52.389983000188224,4.88781099987638
12.6,0.22,6.395690594202899,20.04,46.0,17.0,3.6,1.4,2022-09-17,52.39397200025616,4.870156999790721
12.1,0.25,9.220394650205762,36.0,28.0,16.0,5.1,0.25,2022-09-18,52.35803899985509,4.899699999642448
12.1,0.22,1.5803238095238095,14.0,20.0,9.6,2.6,0.25,2022-09-18,52.359714000013874,4.866208000411839
12.1,0.25,12.274537093023255,47.0,28.0,12.0,4.3,0.25,2022-09-18,52.374786000246935,4.86031900024369
12.1,0.25,2.441637984496124,11.0,33.0,12.919999999999998,4.3,0.25,2022-09-18,52.38931400010768,4.9438219998869615
12.1,0.28,8.839829069767443,29.0,31.0,14.0,7.9,0.25,2022-09-18,52.389983000188224,4.88781099987638
12.1,0.25,6.395690594202899,27.4,28.0,13.0,1.6,0.25,2022-09-18,52.39397200025616,4.870156999790721
9.8,0.215,9.220394650205762,24.0,37.666666666666664,6.4,5.3,0.6911007843137256,2022-09-29,52.35803899985509,4.899699999642448
9.8,0.13,1.5803238095238095,14.0,34.0,7.7,6.1,0.6845653992395436,2022-09-29,52.359714000013874,4.866208000411839
9.8,0.215,2.441637984496124,12.0,42.0,7.8500000000000005,4.574999999999999,0.6913767175572519,2022-09-29,52.38931400010768,4.9438219998869615
9.8,0.3,8.839829069767443,20.0,37.0,11.0,4.4,0.6907460966542752,2022-09-29,52.389983000188224,4.88781099987638
9.8,0.215,6.395690594202899,17.5,37.666666666666664,6.3,2.5,0.6907460966542751,2022-09-29,52.39397200025616,4.870156999790721
12.1,0.19,9.220394650205762,26.0,35.333333333333336,16.0,6.2,0.6911007843137256,2022-09-30,52.35803899985509,4.899699999642448
12.1,0.14,1.5803238095238095,14.0,27.0,9.6,4.4,0.6845653992395436,2022-09-30,52.359714000013874,4.866208000411839
12.1,0.19,2.441637984496124,8.6,44.0,13.65,4.125,0.6913767175572519,2022-09-30,52.38931400010768,4.9438219998869615
12.1,0.24,8.839829069767443,21.0,35.0,17.0,4.1,0.6907460966542752,2022-09-30,52.389983000188224,4.88781099987638
12.1,0.19,6.395690594202899,17.4,35.333333333333336,12.0,1.8,0.6907460966542751,2022-09-30,52.39397200025616,4.870156999790721
14.4,0.38,9.220394650205762,44.0,13.666666666666666,20.0,11.0,0.6911007843137256,2022-10-01,52.35803899985509,4.899699999642448
14.4,0.21,1.5803238095238095,23.0,12.0,16.0,5.8,0.6845653992395436,2022-10-01,52.359714000013874,4.866208000411839
14.4,0.38,2.441637984496124,34.0,18.0,19.25,9.0,0.6913767175572519,2022-10-01,52.38931400010768,4.9438219998869615
14.4,0.55,8.839829069767443,53.0,11.0,23.0,13.0,0.6907460966542752,2022-10-01,52.389983000188224,4.88781099987638
14.4,0.38,6.395690594202899,38.5,13.666666666666666,18.0,6.2,0.6907460966542751,2022-10-01,52.39397200025616,4.870156999790721
13.9,0.33499999999999996,9.220394650205762,35.0,24.333333333333332,22.0,12.0,0.6911007843137256,2022-10-02,52.35803899985509,4.899699999642448
13.9,0.18,1.5803238095238095,26.0,23.0,18.0,13.0,0.6845653992395436,2022-10-02,52.359714000013874,4.866208000411839
13.9,0.33499999999999996,3.3627493697478985,22.0,24.333333333333332,19.5,12.0,0.6657586666666667,2022-10-02,52.37205599978701,4.904399999582005
13.9,0.33499999999999996,2.441637984496124,24.0,31.0,19.5,12.0,0.6913767175572519,2022-10-02,52.38931400010768,4.9438219998869615
13.9,0.49,8.839829069767443,45.0,19.0,21.0,12.0,0.6907460966542752,2022-10-02,52.389983000188224,4.88781099987638
13.9,0.33499999999999996,6.395690594202899,30.4,24.333333333333332,17.0,11.0,0.6907460966542751,2022-10-02,52.39397200025616,4.870156999790721
12.3,0.1905,9.220394650205762,17.0,54.333333333333336,7.6,6.0,0.6911007843137256,2022-10-03,52.35803899985509,4.899699999642448
12.3,0.091,1.5803238095238095,8.6,55.0,9.8,3.9,0.6845653992395436,2022-10-03,52.359714000013874,4.866208000411839
12.3,0.1905,2.441637984496124,11.0,57.0,9.175,3.4925,0.6913767175572519,2022-10-03,52.38931400010768,4.9438219998869615
12.3,0.29,8.839829069767443,18.0,51.0,10.0,3.2,0.6907460966542752,2022-10-03,52.389983000188224,4.88781099987638
12.3,0.1905,6.395690594202899,13.65,54.333333333333336,9.3,0.87,0.6907460966542751,2022-10-03,52.39397200025616,4.870156999790721
14.1,0.1875,9.220394650205762,18.0,50.0,15.0,4.8,0.6911007843137256,2022-10-04,52.35803899985509,4.899699999642448
14.1,0.075,1.5803238095238095,11.0,51.0,14.0,3.8,0.6845653992395436,2022-10-04,52.359714000013874,4.866208000411839
14.1,0.1875,2.441637984496124,15.0,52.0,14.5,4.575,0.6913767175572519,2022-10-04,52.38931400010768,4.9438219998869615
14.1,0.3,8.839829069767443,20.0,47.0,15.0,5.5,0.6907460966542752,2022-10-04,52.389983000188224,4.88781099987638
14.1,0.1875,6.395690594202899,16.0,50.0,14.0,4.2,0.6907460966542751,2022-10-04,52.39397200025616,4.870156999790721
16.1,0.195,9.220394650205762,30.0,36.666666666666664,17.0,8.9,0.6911007843137256,2022-10-05,52.35803899985509,4.899699999642448
16.1,0.1,1.5803238095238095,15.0,38.0,18.0,4.1,0.6845653992395436,2022-10-05,52.359714000013874,4.866208000411839
16.1,0.195,2.441637984496124,15.0,39.0,17.0,5.8,0.6913767175572519,2022-10-05,52.38931400010768,4.9438219998869615
16.1,0.29,8.839829069767443,27.0,33.0,16.0,6.5,0.6907460966542752,2022-10-05,52.389983000188224,4.88781099987638
16.1,0.195,6.395690594202899,21.75,36.666666666666664,17.0,3.7,0.6907460966542751,2022-10-05,52.39397200025616,4.870156999790721
13.9,0.185,9.220394650205762,17.0,37.666666666666664,11.0,3.3,0.6911007843137256,2022-10-06,52.35803899985509,4.899699999642448
13.9,0.11,1.5803238095238095,8.3,35.0,12.0,3.3,0.6845653992395436,2022-10-06,52.359714000013874,4.866208000411839
13.9,0.185,2.441637984496124,8.6,41.0,11.225,2.675,0.6913767175572519,2022-10-06,52.38931400010768,4.9438219998869615
13.9,0.26,8.839829069767443,16.0,37.0,12.0,3.0,0.6907460966542752,2022-10-06,52.389983000188224,4.88781099987638
13.9,0.185,6.395690594202899,12.475,37.666666666666664,9.9,1.1,0.6907460966542751,2022-10-06,52.39397200025616,4.870156999790721
13.0,0.325,9.220394650205762,26.0,5.933333333333334,12.0,6.6,0.6911007843137256,2022-10-07,52.35803899985509,4.899699999642448
13.0,0.23,1.5803238095238095,23.0,-1.8,14.0,8.6,0.6845653992395436,2022-10-07,52.359714000013874,4.866208000411839
13.0,0.325,2.441637984496124,17.0,17.0,13.75,8.275,0.6913767175572519,2022-10-07,52.38931400010768,4.9438219998869615
13.0,0.42,8.839829069767443,43.0,2.6,16.0,9.8,0.6907460966542752,2022-10-07,52.389983000188224,4.88781099987638
13.0,0.325,6.395690594202899,27.25,5.933333333333334,13.0,8.1,0.6907460966542751,2022-10-07,52.39397200025616,4.870156999790721
12.4,0.39,9.220394650205762,43.0,10.266666666666667,21.0,12.0,0.6911007843137256,2022-10-08,52.35803899985509,4.899699999642448
12.4,0.23,1.5803238095238095,31.0,8.5,20.0,8.4,0.6845653992395436,2022-10-08,52.359714000013874,4.866208000411839
12.4,0.39,2.441637984496124,27.0,15.0,20.5,9.2,0.6913767175572519,2022-10-08,52.38931400010768,4.9438219998869615
12.4,0.55,8.839829069767443,44.0,7.3,22.0,10.0,0.6907460966542752,2022-10-08,52.389983000188224,4.88781099987638
12.4,0.39,6.395690594202899,36.25,10.266666666666667,19.0,6.4,0.6907460966542751,2022-10-08,52.39397200025616,4.870156999790721
10.1,0.335,9.220394650205762,34.0,27.5,16.0,7.9,0.75,2022-10-19,52.35803899985509,4.899699999642448
